epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,75.9831,1.25296,1.50207,1.76176,0,0,0,0,nan,nan,nan,0.00111143,0.00111143,0.00111143
64,77.7844,1.35824,1.4994,1.63832,0,0,0,0,nan,nan,nan,0.00112635,0.00112635,0.00112635
65,79.0655,1.28025,1.45342,1.58455,0,0,0,0,nan,nan,nan,0.00114184,0.00114184,0.00114184
66,80.2543,1.13492,1.14238,1.53604,0,0,0,0,nan,nan,nan,0.00115749,0.00115749,0.00115749
67,81.4577,1.91707,1.34057,2.67053,0,0,0,0,nan,nan,nan,0.00117332,0.00117332,0.00117332
68,82.6261,1.3451,1.31915,1.66175,0,0,0,0,nan,nan,nan,0.00118884,0.00118884,0.00118884
69,83.7965,1.38893,1.36769,1.57355,0,0,0,0,nan,nan,nan,0.00120429,0.00120429,0.00120429
70,84.97,1.12433,1.15646,1.57135,0,0,0,0,nan,nan,nan,0.00121995,0.00121995,0.00121995
71,86.1875,1.34583,1.18984,1.92469,0,0,0,0,nan,nan,nan,0.00123528,0.00123528,0.00123528
72,87.3708,1.43859,1.42759,1.73211,0,0,0,0,nan,nan,nan,0.00125054,0.00125054,0.00125054
73,88.5482,1.5114,1.4367,1.90375,0,0,0,0,nan,nan,nan,0.00126573,0.00126573,0.00126573
74,89.7853,1.19243,0.95526,1.7107,0,0,0,0,nan,nan,nan,0.00128086,0.00128086,0.00128086
75,90.9556,1.61087,1.46381,1.91305,0,0,0,0,nan,nan,nan,0.00129592,0.00129592,0.00129592
76,92.1347,1.38128,1.64664,1.86059,0,0,0,0,nan,nan,nan,0.00131123,0.00131123,0.00131123
77,93.3232,1.67701,1.70786,2.17996,0,0,0,0,nan,nan,nan,0.00132616,0.00132616,0.00132616
78,94.5059,1.29922,1.4403,1.66714,0,0,0,0,nan,nan,nan,0.00134103,0.00134103,0.00134103
79,95.662,1.60977,1.58785,1.85167,0,0,0,0,nan,nan,nan,0.00135617,0.00135617,0.00135617
80,96.8659,1.36952,1.42155,1.93385,0,0,0,0,nan,nan,nan,0.00137091,0.00137091,0.00137091
81,98.0463,1.14269,1.35114,1.62673,0,0,0,0,nan,nan,nan,0.00138558,0.00138558,0.00138558
82,99.2159,1.79278,1.63325,2.16047,0,0,0,0,nan,nan,nan,0.00140019,0.00140019,0.00140019
83,100.369,1.58816,1.37721,1.83103,0,0,0,0,nan,nan,nan,0.00141511,0.00141511,0.00141511
84,101.579,1.39125,1.49094,1.99465,0,0,0,0,nan,nan,nan,0.00142959,0.00142959,0.00142959
85,102.759,1.4327,1.58434,2.09919,0,0,0,0,nan,nan,nan,0.00144401,0.00144401,0.00144401
86,103.971,1.57788,1.35882,1.91305,0,0,0,0,nan,nan,nan,0.00145835,0.00145835,0.00145835
87,105.142,1.45245,1.36224,1.62579,0,0,0,0,nan,nan,nan,0.00147263,0.00147263,0.00147263
88,106.308,1.20661,1.27679,1.82721,0,0,0,0,nan,nan,nan,0.00148685,0.00148685,0.00148685
89,107.566,1.56635,1.68719,1.90952,0,0,0,0,nan,nan,nan,0.00150099,0.00150099,0.00150099
90,108.738,1.61561,1.38816,1.82979,0,0,0,0,nan,nan,nan,0.00151507,0.00151507,0.00151507
91,109.941,1.45854,1.43242,1.78856,0,0,0,0,nan,nan,nan,0.00152954,0.00152954,0.00152954
92,111.127,1.52648,1.308,1.79649,0,0,0,0,nan,nan,nan,0.0015435,0.0015435,0.0015435
93,112.291,1.24155,1.18867,1.61136,0,0,0,0,nan,nan,nan,0.00155739,0.00155739,0.00155739
94,113.484,1.41703,1.34855,1.96615,0,0,0,0,nan,nan,nan,0.00157121,0.00157121,0.00157121
95,114.648,1.61079,1.56465,2.35747,0,0,0,0,nan,nan,nan,0.00158497,0.00158497,0.00158497
96,115.812,1.59629,1.39181,2.06946,0,0,0,0,nan,nan,nan,0.00159917,0.00159917,0.00159917
97,116.967,1.96015,2.32672,2.54891,0,0,0,0,nan,nan,nan,0.0016128,0.0016128,0.0016128
98,118.124,1.44788,1.05604,1.63961,0,0,0,0,nan,nan,nan,0.00162637,0.00162637,0.00162637
99,119.342,1.58448,1.98079,2.16835,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00163987,0.00163987,0.00163987
100,120.489,1.52564,1.69427,2.10789,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016533,0.0016533,0.0016533
101,121.675,1.48262,1.37171,1.74557,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00166723,0.00166723,0.00166723
102,122.843,1.61791,1.68405,1.89016,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016639,0.0016639,0.0016639
103,124.002,1.41582,1.41325,2.18906,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00166057,0.00166057,0.00166057
104,125.165,1.61757,1.42247,2.07727,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00165724,0.00165724,0.00165724
105,126.334,1.49625,1.81491,2.14361,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016545,0.0016545,0.0016545
106,127.498,1.6365,1.97563,2.25813,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00165117,0.00165117,0.00165117
