epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,93.8191,0.50285,0.41016,0.8982,0.95416,0.96453,0.98258,0.87241,0.53025,0.50377,0.94788,0.00109121,0.00109121,0.00109121
60,95.3408,0.49623,0.41182,0.89668,0.96319,0.97787,0.98274,0.85621,0.55021,0.45928,0.93054,0.00108847,0.00108847,0.00108847
61,96.8696,0.48818,0.41055,0.89726,0.98148,0.9468,0.98334,0.8659,0.51515,0.44414,0.91338,0.00108609,0.00108609,0.00108609
62,98.3996,0.49176,0.40531,0.87808,0.94504,0.95923,0.98329,0.87014,0.53629,0.46232,0.91267,0.00108336,0.00108336,0.00108336
63,99.9577,0.48489,0.40363,0.87039,0.95792,0.96534,0.98307,0.883,0.51618,0.43329,0.90475,0.00108063,0.00108063,0.00108063
64,101.478,0.48646,0.40886,0.88617,0.9399,0.96599,0.98276,0.8769,0.51454,0.46017,0.91838,0.00107828,0.00107828,0.00107828
65,103.02,0.49776,0.4121,0.8959,0.89656,0.94334,0.98146,0.87391,0.5242,0.53516,0.92331,0.00107555,0.00107555,0.00107555
66,104.592,0.48525,0.39648,0.89147,0.9713,0.98153,0.98318,0.88057,0.50418,0.37395,0.89824,0.00107282,0.00107282,0.00107282
67,106.118,0.49558,0.41235,0.89761,0.98106,0.97902,0.97266,0.88209,0.49252,0.3864,0.89605,0.0010701,0.0010701,0.0010701
68,107.649,0.47622,0.39046,0.88798,0.97419,0.98611,0.97577,0.85988,0.52612,0.40544,0.91219,0.00106737,0.00106737,0.00106737
69,109.215,0.48839,0.38815,0.88918,0.98041,0.98611,0.97911,0.86612,0.52038,0.40531,0.91936,0.00106505,0.00106505,0.00106505
70,110.735,0.4986,0.38934,0.89705,0.98965,0.98611,0.98266,0.87743,0.53124,0.4357,0.91864,0.00106234,0.00106234,0.00106234
71,112.258,0.46817,0.38839,0.89081,0.95752,0.98611,0.98267,0.88475,0.50851,0.45551,0.90788,0.00105962,0.00105962,0.00105962
72,114.214,0.46755,0.37524,0.88299,0.98595,0.98611,0.98281,0.87375,0.51318,0.38625,0.91295,0.00105647,0.00105647,0.00105647
73,115.751,0.4801,0.37931,0.88036,0.9943,0.98611,0.98282,0.88323,0.50042,0.35541,0.90864,0.00105374,0.00105374,0.00105374
74,117.264,0.48004,0.37544,0.90187,0.99436,0.97989,0.98294,0.88649,0.49609,0.3768,0.90638,0.00105102,0.00105102,0.00105102
75,118.807,0.48532,0.376,0.89167,0.99577,0.97361,0.9827,0.88072,0.50218,0.37257,0.89454,0.00104829,0.00104829,0.00104829
76,120.338,0.50455,0.38829,0.89754,0.96651,0.95154,0.98131,0.86241,0.54713,0.45226,0.93513,0.00104557,0.00104557,0.00104557
77,121.861,0.49764,0.3783,0.89022,0.97245,0.93597,0.97647,0.87109,0.50691,0.42737,0.92428,0.0010433,0.0010433,0.0010433
78,123.38,0.47303,0.37037,0.89309,0.9697,0.98438,0.98371,0.87868,0.51633,0.38289,0.93041,0.00104058,0.00104058,0.00104058
79,124.94,0.47271,0.37265,0.87832,0.94562,0.95547,0.97521,0.8797,0.51567,0.42299,0.91996,0.00103786,0.00103786,0.00103786
80,126.476,0.50085,0.36546,0.88339,0.94395,0.97734,0.96518,0.83957,0.56565,0.4317,0.94353,0.00103514,0.00103514,0.00103514
81,127.999,0.49684,0.35601,0.88965,0.93934,0.96454,0.94576,0.84812,0.50792,0.43445,0.89864,0.00103242,0.00103242,0.00103242
82,129.555,0.48099,0.35739,0.88183,0.93422,0.98611,0.97181,0.87278,0.50271,0.38734,0.8913,0.00103018,0.00103018,0.00103018
83,131.074,0.45671,0.34857,0.87211,0.96604,0.96953,0.98305,0.87658,0.52745,0.39735,0.90291,0.00102747,0.00102747,0.00102747
84,132.611,0.46252,0.34632,0.89005,0.98924,0.98586,0.98331,0.87416,0.51017,0.35778,0.90011,0.00102475,0.00102475,0.00102475
85,134.593,0.44808,0.34677,0.87037,0.98605,0.97763,0.9836,0.8643,0.53966,0.34608,0.91616,0.00102204,0.00102204,0.00102204
86,136.112,0.46469,0.35899,0.88093,0.98118,0.97736,0.9832,0.86586,0.54833,0.3615,0.92445,0.00101882,0.00101882,0.00101882
87,137.634,0.46366,0.34752,0.88198,0.99296,0.98611,0.98338,0.87059,0.53125,0.35028,0.92843,0.0010161,0.0010161,0.0010161
88,139.216,0.46336,0.35515,0.88905,0.99561,0.98611,0.98373,0.88917,0.48928,0.32253,0.9093,0.00101338,0.00101338,0.00101338
